lat,long,region,Enclosure,Exclusion,Encroachment,Entrenchment,total
-15.21,20.91,Africa,44,49,18,51,70
49.52,-101.96,North America,13,0,0,0,62
-11.48,-58.71,Latin America and Caribbean,16,17,2,6,41
50.43,15.64,Europe and Central Asia,13,2,0,12,51
32.28,125.68,East Asia and Pacific,10,2,3,5,22
28.49,32.16,Middle East and North Africa,3,0,0,1,29
18.35,77.16,South Asia,4,0,0,0,17
